,text,flag,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1, salimos rumbo a pachuca vamosamerica ,1,FALSE,0,NA,28/07/2017 20:03,FALSE,NA,8.91E+17,NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>",VamosAmericaMex,0,FALSE,FALSE,NA,NA
2, nuestras aguilas ya viajan rumbo a pachuca para el juego de manana vamosamerica ,1,FALSE,0,NA,28/07/2017 19:47,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",azul8Acrema,0,FALSE,FALSE,NA,NA
3,ya los vi celebrando los goles juntos a 11 dominguez94 y matheus uribe8 wip somosamerica vamosamerica ,1,FALSE,9,NA,28/07/2017 19:44,TRUE,NA,8.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",akyanyme,1,FALSE,FALSE,NA,NA
4, salimos rumbo a pachuca vamosamerica ,1,FALSE,2,NA,28/07/2017 19:36,FALSE,NA,8.91E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",ElAguanteCrema,0,FALSE,FALSE,NA,NA
5, salimos rumbo a pachuca vamosamerica ,1,FALSE,348,NA,28/07/2017 19:32,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ClubAmerica,78,FALSE,FALSE,NA,NA
6, clubamerica quiere regresar a volar por las tardes vamosamerica ,1,FALSE,0,ClubAmerica,28/07/2017 19:29,FALSE,NA,8.91E+17,122211977,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuisQuacks,0,FALSE,FALSE,NA,NA
7,que dijo mi mama que siempre si despues de una largaaaaaaaa negociacion matheus uribe es nuevo jugador del club ,1,FALSE,34,NA,28/07/2017 17:26,TRUE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",90MinutosMexico,10,FALSE,FALSE,NA,NA
8,abriendo las alas vamosamerica instagram clubamerica ,1,FALSE,6,NA,28/07/2017 16:50,FALSE,NA,8.91E+17,NA,"<a href=""http://www.futbol-addict.com/es-mx/news/liga-mx/club-america"" rel=""nofollow"">Águilas Addict</a>",AguilasAddict,2,FALSE,FALSE,NA,NA
9, clubamerica 11 dominguez94 ese 10 lleva anos sin ser representado como se debe cecilio tiene el talento para llenarlo vamosamerica,1,FALSE,10,ClubAmerica,28/07/2017 16:19,FALSE,8.91E+17,8.91E+17,122211977,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChepOrozco,1,FALSE,FALSE,NA,NA
10,veo a 6 americanistas de en este 11 historico y bueno en la media no se diga completa de pura aguila con ga ,1,FALSE,0,NA,28/07/2017 15:59,TRUE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Djchettos,0,FALSE,FALSE,NA,NA
11, pablisaguilar la pesadilla ya paso vamosamerica ,1,FALSE,0,pablisaguilar,28/07/2017 14:58,FALSE,NA,8.91E+17,158769324,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuisQuacks,1,FALSE,FALSE,NA,NA
12, matheus uribe8 mucha suerte aqui en el club america de mexico bienvenidoalmasgrande vamosamerica matheusesaguila ,1,FALSE,0,matheus_uribe8,28/07/2017 14:53,FALSE,NA,8.91E+17,7.23E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",braulioaguila9,0,FALSE,FALSE,NA,NA
13,uribe al america excelente noticia vamosamerica,1,FALSE,0,NA,28/07/2017 14:52,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mglcruz,0,FALSE,FALSE,NA,NA
14,diiiiiiiiiiiiaaasss coffetime vamosamerica,1,FALSE,0,NA,28/07/2017 14:35,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Osoritch,1,FALSE,FALSE,NA,NA
15,felicidades y exito a todos los equipos que componen a la liga y en especial a mis americafemenil vamosamerica ,1,FALSE,0,NA,28/07/2017 14:29,TRUE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cristhian1990,0,FALSE,FALSE,NA,NA
16,varios medios confirman la llegada de mateus uribe al america solo falta esperar a que el club lo haga oficial ,1,FALSE,73,NA,28/07/2017 14:29,TRUE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Juntosporla13,18,FALSE,FALSE,NA,NA
17,felicidades por la primicia rubsainz considero a matheus uribe8 un gran futbolista que nos aportara muchisimo vamosamerica,1,FALSE,0,NA,28/07/2017 10:04,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CarlosArce1916,1,FALSE,FALSE,NA,NA
18,pues por caprichos no se dio lo de jona mal que haya elegido la mls al america pero peor irte de europa en tu mejor momento vamosamerica,1,FALSE,0,NA,28/07/2017 08:23,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Chechardi,1,FALSE,FALSE,NA,NA
19,duras palabras del piojo sobre los insultos a osorio vamosamerica miseleccionmx miguelherrera ,1,FALSE,0,NA,28/07/2017 06:13,FALSE,NA,8.91E+17,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",icitusTV,1,FALSE,FALSE,NA,NA
20,el piojo confiesa por que jonathan dos santos desprecio al america vamosamerica jonathandossantos ,1,FALSE,0,NA,28/07/2017 06:02,FALSE,NA,8.91E+17,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",icitusTV,1,FALSE,FALSE,NA,NA
