"","WORD","FREQ","FREQ_1","total_word","prob","ln_prob"
"1","de","606",607,19190,0.0316310578426264,-3.45361579794225
"2","la","406",407,19190,0.0212089630015633,-3.85333140355915
"3","porsiteloperdiste","258",259,19190,0.0134966128191767,-4.30531652730221
"4","en","321",322,19190,0.0167795726941115,-4.08759304345734
"5","el","230",231,19190,0.0120375195414278,-4.41972687847995
"6","supercopa","156",157,19190,0.0081813444502345,-4.80589878365344
"7","y","170",171,19190,0.00891089108910891,-4.72048103249909
"8","a","248",249,19190,0.0129755080771235,-4.34469169253704
"9","se","103",104,19190,0.00541948931735279,-5.21775368986037
"10","con","95",96,19190,0.00500260552371027,-5.29779639753391
"11","que","131",132,19190,0.00687858259510162,-4.97934266641537
"12","para","111",112,19190,0.00583637311099531,-5.14364571770665
"13","los","102",103,19190,0.00536737884314747,-5.22741560077211
"14","colocolo","59",60,19190,0.00312662845231892,-5.76780002677964
"15","pretemporada","59",60,19190,0.00312662845231892,-5.76780002677964
"16","del","78",79,19190,0.00411672746221991,-5.49269673653472
"17","por","78",79,19190,0.00411672746221991,-5.49269673653472
"18","las","92",93,19190,0.00484627410109432,-5.32954509584849
"19","vivo","37",38,19190,0.00198019801980198,-6.22455842927536
"20","jorge","28",29,19190,0.00151120375195414,-6.49484875901527
"21","un","61",62,19190,0.00323084940072955,-5.73501020395665
"22","futbol","26",27,19190,0.00140698280354351,-6.56630772299742
"23","lo","32",33,19190,0.0017196456487754,-6.36563702753527
"24","supercopamx","25",26,19190,0.0013548723293382,-6.60404805098026
"25","vs","25",26,19190,0.0013548723293382,-6.60404805098026
"26","es","51",52,19190,0.00270974465867639,-5.91090087042032
"27","esta","31",32,19190,0.00166753517457009,-6.39640868620202
"28","video","29",30,19190,0.00156331422615946,-6.46094720733959
"29","hoy","24",25,19190,0.00130276185513288,-6.64326876413354
"30","no","39",40,19190,0.00208441896821261,-6.17326513488781
"31","redessociales","23",24,19190,0.00125065138092757,-6.6840907586538
"32","socialmedia","23",24,19190,0.00125065138092757,-6.6840907586538
"33","colo","22",23,19190,0.00119854090672225,-6.7266503730726
"34","madrid","22",23,19190,0.00119854090672225,-6.7266503730726
"35","tras","22",23,19190,0.00119854090672225,-6.7266503730726
"36","mas","66",67,19190,0.00349140177175612,-5.65745196961078
"37","su","50",51,19190,0.00265763418447108,-5.93031895627742
"38","al","31",32,19190,0.00166753517457009,-6.39640868620202
"39","real","19",20,19190,0.00104220948410631,-6.86641231544775
"40","una","26",27,19190,0.00140698280354351,-6.56630772299742
"41","valdivia","19",20,19190,0.00104220948410631,-6.86641231544775
